Функционал / Модуль,Старт,Бизнес,Профи,Премиум,Комментарий,Комментарий исполнителя,Спринты (по недельно) ,Что является результатом,Часы разработки,Стоимость
Базовая автоматизация,,,,,,,,,,
Архитектура и проектирование,✓,✓,✓,✓,Техническая необходимость,"Проектируем схему БД (PostgreSQL), API-контракты, настраиваем Docker-контейнеры и репозиторий на вашем GitHub. Без этого этапа невозможно начать разработку — это фундамент всей системы.",Неделя 1,"Проектирование системы, схема БД, API-контракты",24,36 000 ₽
LLM ядро (мозг бота),✓,✓,✓,✓,Техническая необходимость,"Подключаем языковую модель (DeepSeek V3.2 через OpenRouter). Бот учится вести диалог, понимать контекст, отвечать на EN и AR. Это «мозг», который управляет всеми ответами. Промпты можно будет менять через админку.",Неделя 2-3,"Ядро бота: генерация ответов, мультиязычность EN/AR",32,48 000 ₽
Ответы на вопросы (EN/AR),✓,✓,✓,✓,,Покрывается модулем LLM ядро выше. Отдельная разработка не требуется.,,,,
База знаний (каталог товаров),✓,✓,✓,✓,"Данные из Zoho Inventory, картинки из сайтов, правила ведения диалогов и преимущества компании конкурентные, контактные данные ОП ","Строим RAG-систему (Retrieval-Augmented Generation): все документы и товары индексируются в векторной базе Qdrant. Бот ищет релевантную информацию и формирует ответ на её основе. Автосинхронизация с Zoho Inventory раз в час.",Неделя 2-3,"1. Подключение всех коннектеров: Zoho Inventoty, Zoho CRM, сайты (оба). Подключение документов: правила ведения диалогов и преимущества компании + методика оценки качества диалогов
2. К базе делать запросы и получать ответы. ",40,60 000 ₽
Интеграция с WhatsApp (Wazzup),✓,✓,✓,✓,,"Подключаемся к Wazzup API: приём входящих сообщений через webhook, отправка ответов, поддержка изображений (фото товаров). Скачиваем историю диалогов для обучения.",Неделя 3,"Дать команду и скачать все диалоги с того момента как началась интеграция, запуск тестового диалога - интеграция позволяет отвечать ""Привет, Виктор!""",20,30 000 ₽
Интеграция с текущей информацией с Zoho CRM,✓,✓,✓,✓,Создание с передачей UTM меток,"По номеру телефона определяем клиента в CRM. Новый — создаём контакт и сделку с UTM-метками. Повторный — подгружаем всю историю (покупки, диалоги, сегмент) и бот общается с учётом контекста.",Неделя 4-5,"Если первый диалог - вся информация поступает, если второй раз, то бот должен уметь использовать весь контекст, который есть в CRM системе: весь диалог + что купил.
Видя номер телефона делает запрос в Zoho CRM, был ли клиент и общается исходя из контекста ",40,60 000 ₽
Проверка остатков в Inventory,✓,✓,✓,✓,,"Реал-тайм запросы к Zoho Inventory: актуальные остатки, цены, статус товара. Бот не предложит то, чего нет на складе.",Неделя 5,Дубль базы знаний ,16,24 000 ₽
Продажи и лояльность,,,,,,,,,,
Понимание голосовых (Whisper),—,✓,✓,✓,,Пока не в скоупе (нет результата от заказчика). Можно добавить позже за 16ч / 24 000 ₽.,,,,
